f_i,x_eff,B_eff
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.05,82.29598393574295,16.420387801204818
0.05,89.96666666666667,16.807449494949495
0.05,86.78484848484848,17.549242424242422
0.05,87.13838383838383,16.728535353535356
0.05,87.13838383838383,16.554924242424242
0.05,87.1888888888889,17.549242424242422
0.05,89.96666666666667,16.839015151515152
0.05,88.1989898989899,17.549242424242422
0.05,82.46666666666667,16.66540404040404
0.05,88.1989898989899,16.87058080808081
0.05,87.34040404040404,16.996843434343432
0.05,83.68538681948425,15.843033667621778
0.05,82.46666666666667,17.549242424242422
0.05,82.46666666666667,16.996843434343432
0.05,82.46666666666667,17.549242424242422
0.05,89.96666666666667,17.549242424242422
0.05,88.1989898989899,16.554924242424242
0.05,86.78484848484848,17.549242424242422
0.05,87.06666666666668,17.549242424242422
0.05,82.46666666666667,16.66540404040404
0.05,89.96666666666667,17.549242424242422
0.05,88.1989898989899,16.87058080808081
0.05,89.96666666666667,16.996843434343436
0.05,86.78484848484848,17.549242424242422
0.05,86.78484848484848,17.549242424242422
0.05,88.1989898989899,16.554924242424242
0.05,82.46666666666667,17.549242424242422
0.05,76.99598393574297,17.370983935742974
0.05,89.96666666666667,16.839015151515152
0.05,86.78484848484848,17.549242424242422
0.1,58.0,9.933333333333334
0.1,69.76586345381526,15.395716198125836
0.1,82.52121212121213,18.719191919191918
0.1,104.31538461538462,22.904548006737787
