f_i,x_eff,B_eff
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.05,66.63333333333333,10.419528619528618
0.05,66.63333333333333,9.985663082437275
0.05,52.46666666666666,15.205492424242426
0.05,84.16666666666667,17.179863147605083
0.05,66.63333333333333,10.419528619528618
0.05,84.16666666666667,17.179863147605083
0.05,84.16666666666667,17.179863147605083
0.05,66.63333333333333,10.419528619528618
0.05,84.16666666666667,17.179863147605083
0.05,52.46666666666666,15.205492424242426
0.05,52.46666666666666,15.205492424242426
0.05,52.46666666666666,15.205492424242426
0.05,66.63333333333333,10.419528619528618
0.05,66.63333333333333,10.419528619528618
0.05,52.46666666666666,15.205492424242426
0.05,66.63333333333333,10.419528619528618
0.05,66.63333333333333,10.419528619528618
0.05,66.63333333333333,9.985663082437275
0.05,66.63333333333333,9.985663082437275
0.05,84.16666666666667,17.179863147605083
0.05,66.63333333333333,10.419528619528618
0.05,84.16666666666667,17.179863147605083
0.05,66.63333333333333,10.419528619528618
0.05,66.63333333333333,10.419528619528618
0.05,84.16666666666667,17.179863147605083
0.05,66.63333333333333,10.419528619528618
0.05,52.46666666666666,15.205492424242426
0.05,66.63333333333333,10.419528619528618
0.05,66.63333333333333,9.985663082437275
0.05,66.63333333333333,9.985663082437275
0.1,84.16666666666667,17.179863147605083
0.1,52.46666666666666,15.205492424242426
0.1,52.46666666666666,15.205492424242426
0.1,66.63333333333333,10.419528619528618
