f_i,x_eff,B_eff
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.0,89.96666666666667,17.01744719926538
0.05,87.34040404040404,16.996843434343432
0.05,87.34040404040404,16.996843434343432
0.05,89.96666666666667,17.549242424242422
0.05,82.46666666666667,16.996843434343432
0.05,87.06666666666668,16.66540404040404
0.05,86.78484848484848,17.549242424242422
0.05,87.79494949494949,17.549242424242422
0.05,82.46666666666667,16.996843434343432
0.05,86.78484848484848,17.549242424242422
0.05,86.78484848484848,16.87058080808081
0.05,86.78484848484848,16.87058080808081
0.05,89.96666666666667,17.549242424242422
0.05,87.13838383838383,16.728535353535356
0.05,82.46666666666667,16.66540404040404
0.05,88.1989898989899,16.87058080808081
0.05,87.13838383838383,16.554924242424242
0.05,89.96666666666667,17.549242424242422
0.05,83.68538681948425,15.843033667621778
0.05,87.1888888888889,17.549242424242422
0.05,86.78484848484848,16.87058080808081
0.05,89.96666666666667,17.549242424242422
0.05,88.1989898989899,16.554924242424242
0.05,83.68538681948425,15.843033667621778
0.05,87.06666666666668,16.66540404040404
0.05,87.06666666666668,17.549242424242422
0.05,87.06666666666668,16.66540404040404
0.05,87.13838383838383,16.728535353535356
0.05,87.79494949494949,17.549242424242422
0.05,86.78484848484848,16.87058080808081
0.05,82.46666666666667,16.66540404040404
0.1,86.78484848484848,18.129966329966333
0.1,80.09292929292928,18.719191919191918
0.1,76.86586345381525,16.76541499330656
0.1,74.74698795180723,17.83293172690763
